uriPer,labelPer,birthYear,relaType,uriOrg,labelOrg,nTypes,typesO,periods
http://www.wikidata.org/entity/Q632907,Leland D. Melvin,1964,education,http://www.wikidata.org/entity/Q213439,University of Virginia,2,public research university | public educational institution of the United States,1961-1980
http://www.wikidata.org/entity/Q632907,Leland D. Melvin,1964,education,http://www.wikidata.org/entity/Q1115878,University of Richmond,2,private not-for-profit educational institution | university,1961-1980
http://www.wikidata.org/entity/Q634141,Theodore Freeman,1930,education,http://www.wikidata.org/entity/Q230492,University of Michigan,2,public research university | public educational institution of the United States,1921-1940
http://www.wikidata.org/entity/Q634141,Theodore Freeman,1930,education,http://www.wikidata.org/entity/Q3428253,U.S. Air Force Test Pilot School,1,flight school,1921-1940
http://www.wikidata.org/entity/Q634141,Theodore Freeman,1930,education,http://www.wikidata.org/entity/Q1068072,University of Delaware,4,public educational institution of the United States | university | land-grant university | public university,1921-1940
http://www.wikidata.org/entity/Q634141,Theodore Freeman,1930,education,http://www.wikidata.org/entity/Q559549,United States Naval Academy,4,census-designated place in the United States | public educational institution of the United States | observatory | naval academy,1921-1940
http://www.wikidata.org/entity/Q634141,Theodore Freeman,1930,employment,http://www.wikidata.org/entity/Q23548,National Aeronautics and Space Administration,2,space agency | independent agency of the United States government,1921-1940
http://www.wikidata.org/entity/Q634822,James van Hoften,1944,employment,http://www.wikidata.org/entity/Q23548,National Aeronautics and Space Administration,2,space agency | independent agency of the United States government,1941-1960
http://www.wikidata.org/entity/Q634822,James van Hoften,1944,education,http://www.wikidata.org/entity/Q168756,"University of California, Berkeley",4,public research university | United Nations Depository Library | public educational institution of the United States | land-grant university,1941-1960
http://www.wikidata.org/entity/Q634822,James van Hoften,1944,education,http://www.wikidata.org/entity/Q6859976,Mills High School,2,public school | high school,1941-1960
http://www.wikidata.org/entity/Q634822,James van Hoften,1944,education,http://www.wikidata.org/entity/Q1111640,Colorado State University,3,public research university | public educational institution of the United States | land-grant university,1941-1960
http://www.wikidata.org/entity/Q634822,James van Hoften,1944,employment,http://www.wikidata.org/entity/Q1472358,University of Houston,2,public educational institution of the United States | university,1941-1960
http://www.wikidata.org/entity/Q63610,Robert Satcher,1965,education,http://www.wikidata.org/entity/Q49121,Harvard Medical School,1,medical school,1961-1980
http://www.wikidata.org/entity/Q63610,Robert Satcher,1965,education,http://www.wikidata.org/entity/Q5676651,Harvard–MIT Division of Health Sciences and Technology,2,doctoral program | medical school,1961-1980
http://www.wikidata.org/entity/Q63610,Robert Satcher,1965,employment,http://www.wikidata.org/entity/Q5441562,Feinberg School of Medicine,1,medical school,1961-1980
http://www.wikidata.org/entity/Q63610,Robert Satcher,1965,education,http://www.wikidata.org/entity/Q49108,Massachusetts Institute of Technology,6,university | Institute of Technology | academic publisher | space grant institution | institute of technology | private not-for-profit educational institution,1961-1980
http://www.wikidata.org/entity/Q63610,Robert Satcher,1965,employment,http://www.wikidata.org/entity/Q23548,National Aeronautics and Space Administration,2,space agency | independent agency of the United States government,1961-1980
