,uriPer_x,uriPer_y,orgs,numberOrgs,uriOrgs,periods_x,BeginY_x,EndY_x,BeginY_y,EndY_y,periods_y
2110,http://www.wikidata.org/entity/Q320047,http://www.wikidata.org/entity/Q375065,University of Arizona|U.S. Air Force Test Pilot School,2,http://www.wikidata.org/entity/Q503419|http://www.wikidata.org/entity/Q3428253,1921-1940,1957.0,1968.0,1951.0,1962.0,1921-1940
1847,http://www.wikidata.org/entity/Q29648,http://www.wikidata.org/entity/Q709921,United States Naval Test Pilot School|United States Military Academy,2,http://www.wikidata.org/entity/Q1128819|http://www.wikidata.org/entity/Q9219,1941-1960,1975.0,1986.0,1969.0,1980.0,1941-1960
2235,http://www.wikidata.org/entity/Q334463,http://www.wikidata.org/entity/Q382247,United States Naval Test Pilot School|Naval Postgraduate School,2,http://www.wikidata.org/entity/Q1128819|http://www.wikidata.org/entity/Q1515048,1961-1980,1979.0,1990.0,1977.0,1988.0,1941-1960
2238,http://www.wikidata.org/entity/Q334463,http://www.wikidata.org/entity/Q447057,United States Naval Test Pilot School|Naval Postgraduate School,2,http://www.wikidata.org/entity/Q1128819|http://www.wikidata.org/entity/Q1515048,1961-1980,1979.0,1990.0,1979.0,1990.0,1961-1980
2240,http://www.wikidata.org/entity/Q334463,http://www.wikidata.org/entity/Q45082,United States Naval Test Pilot School|Naval Postgraduate School,2,http://www.wikidata.org/entity/Q1128819|http://www.wikidata.org/entity/Q1515048,1961-1980,1979.0,1990.0,1976.0,1987.0,1941-1960
2248,http://www.wikidata.org/entity/Q334463,http://www.wikidata.org/entity/Q55177,United States Naval Test Pilot School|United States Naval Academy,2,http://www.wikidata.org/entity/Q1128819|http://www.wikidata.org/entity/Q559549,1961-1980,1979.0,1990.0,1983.0,1994.0,1961-1980
2252,http://www.wikidata.org/entity/Q334463,http://www.wikidata.org/entity/Q706939,United States Naval Test Pilot School|United States Naval Academy,2,http://www.wikidata.org/entity/Q1128819|http://www.wikidata.org/entity/Q559549,1961-1980,1979.0,1990.0,1975.0,1986.0,1941-1960
2257,http://www.wikidata.org/entity/Q334463,http://www.wikidata.org/entity/Q935510,United States Naval Test Pilot School|United States Naval Academy,2,http://www.wikidata.org/entity/Q1128819|http://www.wikidata.org/entity/Q559549,1961-1980,1979.0,1990.0,1976.0,1987.0,1941-1960
2169,http://www.wikidata.org/entity/Q32305,http://www.wikidata.org/entity/Q357510,United States Naval Test Pilot School|Naval Postgraduate School,2,http://www.wikidata.org/entity/Q1128819|http://www.wikidata.org/entity/Q1515048,1961-1980,1982.0,1993.0,1982.0,1993.0,1961-1980
2171,http://www.wikidata.org/entity/Q32305,http://www.wikidata.org/entity/Q362220,United States Naval Test Pilot School|Naval Postgraduate School,2,http://www.wikidata.org/entity/Q1128819|http://www.wikidata.org/entity/Q1515048,1961-1980,1982.0,1993.0,1979.0,1990.0,1961-1980
